epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,233.533,0.59239,0.34545,0.90063,0.99945,1,0.995,0.78317,0.87868,0.36346,1.03554,0.0005645,0.0005645,0.0005645
147,235.049,0.62951,0.36905,0.90299,0.99939,1,0.995,0.77568,0.86073,0.35545,1.03266,0.0005546,0.0005546,0.0005546
148,236.573,0.61372,0.35443,0.89993,0.99939,1,0.995,0.78564,0.86123,0.35631,1.03354,0.0005447,0.0005447,0.0005447
149,238.087,0.60083,0.35673,0.89599,0.99937,1,0.995,0.7803,0.86578,0.36175,1.03838,0.0005348,0.0005348,0.0005348
150,239.614,0.59851,0.3672,0.89478,0.99939,1,0.995,0.78133,0.86199,0.35414,1.03037,0.0005249,0.0005249,0.0005249
151,241.128,0.59574,0.3508,0.89293,0.99939,1,0.995,0.77435,0.87619,0.36171,1.03828,0.000515,0.000515,0.000515
152,242.652,0.60617,0.35385,0.8923,0.99939,1,0.995,0.78113,0.87873,0.35207,1.04508,0.0005051,0.0005051,0.0005051
153,244.165,0.58836,0.3514,0.88318,0.99938,1,0.995,0.77423,0.86967,0.35631,1.03502,0.0004952,0.0004952,0.0004952
154,245.69,0.6146,0.3623,0.90821,0.9994,1,0.995,0.78393,0.87937,0.35567,1.04473,0.0004853,0.0004853,0.0004853
155,247.207,0.58898,0.33897,0.87965,0.99939,1,0.995,0.77824,0.88072,0.3637,1.04955,0.0004754,0.0004754,0.0004754
156,248.732,0.55771,0.34036,0.87554,0.99935,1,0.995,0.79297,0.86575,0.35127,1.03769,0.0004655,0.0004655,0.0004655
157,250.244,0.56253,0.33708,0.88741,0.99936,1,0.995,0.78872,0.86023,0.34256,1.03757,0.0004556,0.0004556,0.0004556
158,251.77,0.55792,0.33652,0.86787,0.99932,1,0.995,0.78364,0.89181,0.35122,1.04753,0.0004457,0.0004457,0.0004457
159,253.283,0.57078,0.34068,0.88849,0.99935,1,0.995,0.78526,0.87052,0.34341,1.03156,0.0004358,0.0004358,0.0004358
160,254.811,0.57084,0.34871,0.88025,0.99938,1,0.995,0.78496,0.86717,0.34331,1.037,0.0004259,0.0004259,0.0004259
161,256.325,0.573,0.34738,0.90335,0.99936,1,0.995,0.80249,0.87034,0.34975,1.04654,0.000416,0.000416,0.000416
162,257.854,0.5762,0.3403,0.88242,0.99939,1,0.995,0.79626,0.88245,0.34806,1.04316,0.0004061,0.0004061,0.0004061
163,259.371,0.57584,0.34288,0.89056,0.99939,1,0.995,0.80323,0.86558,0.34568,1.03542,0.0003962,0.0003962,0.0003962
164,260.901,0.57974,0.35834,0.8916,0.99938,1,0.995,0.80737,0.85756,0.3382,1.02449,0.0003863,0.0003863,0.0003863
165,262.421,0.56836,0.34927,0.8908,0.99939,1,0.995,0.80658,0.8544,0.34302,1.02711,0.0003764,0.0003764,0.0003764
166,263.952,0.53172,0.33124,0.87488,0.99939,1,0.995,0.79758,0.87662,0.34378,1.0438,0.0003665,0.0003665,0.0003665
167,265.469,0.55802,0.339,0.87334,0.99939,1,0.995,0.79316,0.89505,0.34483,1.05431,0.0003566,0.0003566,0.0003566
168,266.997,0.55011,0.33686,0.87901,0.9994,1,0.995,0.7861,0.88008,0.352,1.04824,0.0003467,0.0003467,0.0003467
169,268.509,0.56211,0.34883,0.87191,0.99933,1,0.995,0.80635,0.86209,0.3461,1.03207,0.0003368,0.0003368,0.0003368
170,270.035,0.52939,0.33142,0.86462,0.99942,1,0.995,0.79529,0.83474,0.34466,1.02991,0.0003269,0.0003269,0.0003269
171,271.55,0.54062,0.33612,0.8757,0.9994,1,0.995,0.79088,0.84022,0.34062,1.03228,0.000317,0.000317,0.000317
172,273.078,0.54926,0.34432,0.87939,0.99939,1,0.995,0.79492,0.8558,0.34079,1.04178,0.0003071,0.0003071,0.0003071
173,274.595,0.5414,0.33138,0.88474,0.9994,1,0.995,0.80244,0.84108,0.33964,1.03077,0.0002972,0.0002972,0.0002972
174,276.124,0.55328,0.34916,0.88157,0.99939,1,0.995,0.79545,0.83873,0.34525,1.027,0.0002873,0.0002873,0.0002873
175,277.642,0.55865,0.33513,0.87964,0.99938,1,0.995,0.79434,0.8477,0.33494,1.03432,0.0002774,0.0002774,0.0002774
176,279.179,0.56547,0.34655,0.89305,0.9994,1,0.995,0.7873,0.84057,0.33666,1.02692,0.0002675,0.0002675,0.0002675
